"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,735442896052042;17,0726442875015;17,0726442875015
"facteur 2";0,632117163591631;14,6740304923153;31,7466747798167
"facteur 3";0,572000039823708;13,2784656222389;45,0251404020556
"facteur 4";0,538267045920758;12,495384558095;57,5205249601506
"facteur 5";0,482030438813494;11,1899023864236;68,7104273465742
"facteur 6";0,401894294923307;9,32961399890429;78,0400413454785
"facteur 7";0,343915715717725;7,98369351427485;86,0237348597534
"facteur 8";0,317484140163879;7,37010829941801;93,3938431591714
"facteur 9";0,28457519743147;6,6061568408286;100
